0o. $Id$ .o0
abort		abandon
antialias	antialias (?)
applet		applet
background	fundal
bind		leaga
blink		clipeºte
box		cãsuþa (ca check box)
browse		rãsfoieºte
browser		navigator
buffer		buffer
cache		cache
check		verificã / bifeazã (un check box)
chooser		selector
clear		ºterge
click		clic
cought		detectat
crash		prãbuºire
customize	personalizare
custom		personalizat
debug		debug
default		implicit
deprecated	depreciat (?)
device		dispozitiv
discard		anulare
display		afiºaj/afiºeazã
dock		doc
download	descãrcare
drag and drop	plasare
drawer		dulap
drive		dispozitiv (dand: unde apare asta?)
drop		plasament
email		email
embedded	încapsulat
embossed	reliefat
failule		eºec
fallback	reîntoarcere/rezervã
feature		facilitate
flag		opþiune
focus		focus
folder		dosar/director (?)
foreground	frontal (e.g. culoare frontala)
fork		fork
found		gãsit
gradient	degrade
grid		grilaj
halt		oprire/blocare (?)
handler		descriptor
hint		sugestie
history		istoric
host		host
icon		icon
idle		inactiv
item		element
job		activitate (folosit ca process)
kernel		kernel
landscape	peisaj
layout		aspect/aranjare
link		legãturã
lock		blocare
login		login
logout		logout
llop		ciclu
mail		mail
miscellaneous	diverse
mouse		mouse
notify		notificare
obsolete	depãºit ? (la fel cu deprecated)
panel		panou
parse		procesa
pipe		conector pipe
plain text	text simplu
popup		popup (?)
preview		previzualizare
put		plaseazã
read-only	doar-citire
reboot		repornire
redo		repetare
refresh		actualizare
remote		la distanþã
restore		restaurare
return		returna
revert		restaurare
screensaver	screensaver
scroll		defilare
search		cãutare
seascape	(?)
slave		dependent (slave process)
shade		umbreºte
shared		comun //sens de folosit în comun
shell		shell
show		afiºeazã
smooth		fin
splash screen	ecran de pornire
spool		(?)
state		(?)
state		stare
status		(?)
stat		verificare
sticky		lipicios
swallowed	încapsulat
task		task
template	template
theme		temã
threshold	limitã (?)
tile		tapetat/alãturat
toggle		(de)activare/(de)selectare
toolbar		bara de instrumente
tools		instrumente
tooltip		tooltip
undo		refacere
unshade		dezumbreºte
upload		încãrcare
view		vizualizare
warning		avertizare
watch		monitorizeazã
widget		widget
window manager	manager de ferestre
wrap		aranjare (?)
your		dvs.
