bg,achtung/po,,,
bg,balsa/po,,,
bg,bonobo/po,,,
bg,bug-buddy/po,,,
bg,control-center/po,,,
bg,dia/po,,,
bg,dr-genius/po,,,
bg,eog/po,,,
bg,evolution/po,,,
bg,gconf/po,,,
bg,gdm2/po,,,
bg,gnome-i18n/extra-po/gdm2beta5,,,
bg,gedit/po,,,
bg,gfloppy/po,,,
bg,ggv/po,,,
bg,ghex/po,,,
bg,gimp/po,,,
bg,gimp/po-libgimp,,,
bg,gimp/po-script-fu,,,
bg,gimp/po-plug-ins,,,
bg,gimp-freetype/po,,,
bg,glade/po,,,
bg,gnome-i18n/extra-po/gnapster,,,
bg,gnome-applets/po,,,
bg,gnome-chess/po,,,
bg,gnome-core/po,612,33,107
bg,gnome-db/po,,,
bg,gnome-games/po,,,
bg,gnome-libs/po,,,
bg,gnome-lokkit/po,,,
bg,gnome-media/po,,,
bg,gnome-pilot/po,,,
bg,gnome-pim/po,,,
bg,gnome-print/po,,,
bg,gnome-utils/po,,,
bg,gnome-vfs/po,,,
bg,gnomeicu/po,,,
bg,gnorpm/po,,,
bg,gnumeric/po,,,
bg,gphoto/po,,,
bg,gtk+/po,,,
bg,gnome-i18n/extra-po/gtm,,,
bg,gtop/po,,,
bg,gtranslator/po,,,
bg,guppi3/po,,,
bg,gxsnmp/po,,,
bg,gnome-i18n/extra-po/helix-gdm2,,,
bg,helix-install/src/rpm-3.0.3/po,,,
bg,libgtop/po,,,
bg,magicdev/po,,,
bg,mc/po,,,
bg,memprof/po,,,
bg,nautilus/po,,,
bg,pan/po,,,
bg,rp3/po,,,
bg,sodipodi/po,,,
bg,gnome-i18n/extra-po/sawfish,,,
bg,gnome-i18n/extra-po/xchat,,,
ca,achtung/po,78,18,27
ca,balsa/po,312,32,29
ca,bonobo/po,,,
ca,bug-buddy/po,63,22,27
ca,control-center/po,276,31,
ca,dia/po,399,113,103
ca,dr-genius/po,418,3,2
ca,eog/po,43,2,2
ca,evolution/po,,,
ca,gconf/po,203,,
ca,gdm2/po,130,,18
ca,gnome-i18n/extra-po/gdm2beta5,,,
ca,gedit/po,45,37,88
ca,gfloppy/po,,,
ca,ggv/po,80,3,14
ca,ghex/po,79,10,18
ca,gimp/po,934,329,98
ca,gimp/po-libgimp,1,1,47
ca,gimp/po-script-fu,1,1,422
ca,gimp/po-plug-ins,1,1,2775
ca,gimp-freetype/po,,,
ca,glade/po,1153,10,14
ca,gnome-i18n/extra-po/gnapster,,,
ca,gnome-applets/po,522,153,171
ca,gnome-chess/po,39,3,6
ca,gnome-core/po,511,185,56
ca,gnome-db/po,239,183,157
ca,gnome-games/po,,,
ca,gnome-libs/po,349,15,13
ca,gnome-lokkit/po,,,
ca,gnome-media/po,148,12,89
ca,gnome-pilot/po,240,20,27
ca,gnome-pim/po,384,21,57
ca,gnome-print/po,31,7,38
ca,gnome-utils/po,370,114,209
ca,gnome-vfs/po,113,1,1
ca,gnomeicu/po,538,25,17
ca,gnorpm/po,277,,
ca,gnumeric/po,,,
ca,gphoto/po,,,
ca,gtk+/po,104,2,10
ca,gnome-i18n/extra-po/gtm,,,
ca,gtop/po,249,4,
ca,gtranslator/po,,,
ca,guppi3/po,,,
ca,gxsnmp/po,191,71,1
ca,gnome-i18n/extra-po/helix-gdm2,,,
ca,helix-install/src/rpm-3.0.3/po,,,
ca,libgtop/po,215,3,62
ca,magicdev/po,,,
ca,mc/po,1252,132,128
ca,memprof/po,,,
ca,nautilus/po,,,
ca,pan/po,,,
ca,rp3/po,,,
ca,sodipodi/po,,,
ca,gnome-i18n/extra-po/sawfish,,,
ca,gnome-i18n/extra-po/xchat,,,
cs,achtung/po,,,
cs,balsa/po,,,
cs,bonobo/po,,,
cs,bug-buddy/po,50,15,47
cs,control-center/po,300,7,
cs,dia/po,,,
cs,dr-genius/po,53,19,351
cs,eog/po,45,1,2
cs,evolution/po,,,
cs,gconf/po,10,7,186
cs,gdm2/po,25,,123
cs,gnome-i18n/extra-po/gdm2beta5,,,
cs,gedit/po,34,33,103
cs,gfloppy/po,,,
cs,ggv/po,74,3,20
cs,ghex/po,60,13,34
cs,gimp/po,1357,1,3
cs,gimp/po-libgimp,48,,
cs,gimp/po-script-fu,420,2,1
cs,gimp/po-plug-ins,2774,2,
cs,gimp-freetype/po,,,
cs,glade/po,264,7,906
cs,gnome-i18n/extra-po/gnapster,,,
cs,gnome-applets/po,377,62,407
cs,gnome-chess/po,,,
cs,gnome-core/po,717,6,29
cs,gnome-db/po,,,
cs,gnome-games/po,97,89,434
cs,gnome-libs/po,359,1,17
cs,gnome-lokkit/po,,,
cs,gnome-media/po,249,,
cs,gnome-pilot/po,,,
cs,gnome-pim/po,344,37,81
cs,gnome-print/po,,,
cs,gnome-utils/po,303,106,284
cs,gnome-vfs/po,,,
cs,gnomeicu/po,,,
cs,gnorpm/po,79,,198
cs,gnumeric/po,342,463,1279
cs,gphoto/po,,,
cs,gtk+/po,113,1,2
cs,gnome-i18n/extra-po/gtm,,,
cs,gtop/po,174,8,71
cs,gtranslator/po,,,
cs,guppi3/po,,,
cs,gxsnmp/po,,,
cs,gnome-i18n/extra-po/helix-gdm2,,,
cs,helix-install/src/rpm-3.0.3/po,384,213,153
cs,libgtop/po,,,
cs,magicdev/po,,,
cs,mc/po,1373,55,84
cs,memprof/po,,,
cs,nautilus/po,,,
cs,pan/po,,,
cs,rp3/po,,,
cs,sodipodi/po,,,
cs,gnome-i18n/extra-po/sawfish,,,
cs,gnome-i18n/extra-po/xchat,212,28,43
da,achtung/po,123,,
da,balsa/po,373,,
da,bonobo/po,96,,
da,bug-buddy/po,112,,
da,control-center/po,307,,
da,dia/po,615,,
da,dr-genius/po,423,,
da,eog/po,47,,
da,evolution/po,219,,
da,gconf/po,203,,
da,gdm2/po,148,,
da,gnome-i18n/extra-po/gdm2beta5,143,,
da,gedit/po,170,,
