bonobo,bonobo/po,bonobo.pot,HEAD,,
bug-buddy,bug-buddy/po,bug-buddy.pot,HEAD,,
control-center,control-center/po,control-center.pot,control-center-1-0,,
eel,eel/po,eel.pot,eel-1-0,,
gconf,gconf/po,GConf.pot,gconf-1-0,,
gdm2,gdm2/po,gdm.pot,HEAD,,
ggv,ggv/po,ggv.pot,HEAD,,
ghex,ghex/po,ghex.pot,HEAD,,
glade,glade/po,glade.pot,HEAD,,
gnome-applets,gnome-applets/po,gnome-applets.pot,gnome-applets-1-4,,
gnome-core,gnome-core/po,gnome-core.pot,gnome-core-1-4,,
gnome-games,gnome-games/po,gnome-games.pot,HEAD,,
gnome-libs,gnome-libs/po,gnome-libs.pot,gnome-libs-1-0,,
gnome-media,gnome-media/po,gnome-media.pot,HEAD,,
gnome-pim,gnome-pim/po,gnome-pim.pot,HEAD,,
gnome-print,gnome-print/po,gnome-print.pot,gnome-1-4-branch,,
gnome-utils,gnome-utils/po,gnome-utils.pot,HEAD,,
gnome-vfs,gnome-vfs/po,gnome-vfs.pot,gnome-vfs-1,,
gtk+,gtk+/po,gtk+.pot,gtk-1-2,,
gtop,gtop/po,gtop.pot,HEAD,,
libgtop,libgtop/po,libgtop.pot,LIBGTOP_STABLE_1_0,,
nautilus,nautilus/po,nautilus.pot,HEAD,,
oaf,oaf/po,oaf.pot,oaf-stable-0-6,,
sawfish,sawfish/po,sawfish.pot,HEAD,,
