bonobo-activation,bonobo-activation/po,bonobo-activation.pot,,
glib,glib/po,glib.pot,,
gnome-applets,gnome-applets/po,gnome-applets.pot,,
gnome-core,gnome-core/po,gnome-core.pot,,
gtk+,gtk+/po,gtk+.pot,,
gtranslator,gtranslator/po,gtranslator.pot,,
libbonobo,libbonobo/po,libbonobo2.pot,,
libbonoboui,libbonoboui/po,libbonoboui2.pot,,
libgnomebase,libgnomebase/po,libgnomebase2.pot,,
libgnomecanvas,libgnomecanvas/po,libgnomecanvas2.pot,,
libgnome,libgnome/po,libgnome2.pot,,
libgnomeui,libgnomeui/po,libgnomeui2.pot,,
ximian-setup-tools,ximian-setup-tools/po,ximian-setup-tools.pot,,
